index,authors,title,journal,doi,doi_link,nsf_citation_id
1,"Cai, Tejin and Herner, Kenneth and Yang, Tingjun and Wang, Michael and Acosta Flechas, Maria and Harris, Philip and Holzman, Burt and Pedro, Kevin and Tran, Nhan",Accelerating Machine Learning Inference with GPUs in ProtoDUNE Data Processing,Computing and Software for Big Science,10.1007/s41781-023-00101-0,https://doi.org/10.1007/s41781-023-00101-0,10471126
2,"Fischer, Oliver and Mellado, Bruce and Antusch, Stefan and Bagnaschi, Emanuele and Banerjee, Shankha and Beck, Geoff and Belfatto, Benedetta and Bellis, Matthew and Berezhiani, Zurab and Blanke, Monika and Capdevila, Bernat and Cheung, Kingman and Crivell",Unveiling hidden physics at the LHC,The European Physical Journal C,10.1140/epjc/s10052-022-10541-4,https://doi.org/10.1140/epjc/s10052-022-10541-4,10353722
3,"Ghielmetti, Nicolò and Loncar, Vladimir and Pierini, Maurizio and Roed, Marcel and Summers, Sioni and Aarrestad, Thea and Petersson, Christoffer and Linander, Hampus and Ngadiuba, Jennifer and Lin, Kelvin and Harris, Philip",Real-time semantic segmentation on FPGAs for autonomous vehicles with hls4ml,Machine Learning: Science and Technology,10.1088/2632-2153/ac9cb5,https://doi.org/10.1088/2632-2153/ac9cb5,10428758
4,"Gunny, Alec and Rankin, Dylan and Harris, Philip and Katsavounidis, Erik and Marx, Ethan and Saleem, Muhammed and Coughlin, Michael and Benoit, William",A Software Ecosystem for Deploying Deep Learning in Gravitational Wave Physics,FlexScience'22,10.1145/3526058.3535454,https://doi.org/10.1145/3526058.3535454,10340763
5,"Gunny, Alec and Rankin, Dylan and Krupa, Jeffrey and Saleem, Muhammed and Nguyen, Tri and Coughlin, Michael and Harris, Philip and Katsavounidis, Erik and Timm, Steven and Holzman, Burt",Hardware-accelerated inference for real-time gravitational-wave astronomy,Nature Astronomy,10.1038/s41550-022-01651-w,https://doi.org/10.1038/s41550-022-01651-w,10331774
6,"Huang, Shi-Yu and Yang, Yun-Chen and Su, Yu-Ru and Lai, Bo-Cheng and Duarte, Javier and Hauck, Scott and Hsu, Shih-Chieh and Hu, Jin-Xuan and Neubauer, Mark S.",Low Latency Edge Classification GNN for Particle Trajectory Tracking on FPGAs,", 2023",10.1109/FPL60245.2023.00050,https://doi.org/10.1109/FPL60245.2023.00050,10477750
7,"Jiang, Zhixing and Carlson, Ben and Deiana, Allison and Eastlack, Jeff and Hauck, Scott and Hsu, Shih-Chieh and Narayan, Rohin and Parajuli, Santosh and Yin, Dennis and Zuo, Bowen",Machine learning evaluation in the Global Event Processor FPGA for the ATLAS trigger upgrade,Journal of Instrumentation,10.1088/1748-0221/19/05/P05031,https://doi.org/10.1088/1748-0221/19/05/P05031,10514579
8,"Jun, Hyegang and Ye, Hanchen and Jeong, Hyunmin and Chen, Deming",AutoScaleDSE: A Scalable Design Space Exploration Engine for High-Level Synthesis,ACM Transactions on Reconfigurable Technology and Systems,10.1145/3572959,https://doi.org/10.1145/3572959,10477702
9,"Khoda, Elham E and Rankin, Dylan and Teixeira de Lima, Rafael and Harris, Philip and Hauck, Scott and Hsu, Shih-Chieh and Kagan, Michael and Loncar, Vladimir and Paikara, Chaitanya and Rao, Richa and Summers, Sioni and Vernieri, Caterina and Wang, Aaron",Ultra-low latency recurrent neural network inference on FPGAs for physics applications with hls4ml,Machine Learning: Science and Technology,10.1088/2632-2153/acc0d7,https://doi.org/10.1088/2632-2153/acc0d7,10419986
10,"Li, Tianchun and Liu, Shikun and Feng, Yongbin and Paspalaki, Garyfallia and Tran, Nhan_V and Liu, Miaoyuan and Li, Pan",Semi-supervised graph neural networks for pileup noise removal,The European Physical Journal C,10.1140/epjc/s10052-022-11083-5,https://doi.org/10.1140/epjc/s10052-022-11083-5,10394553
11,"Pang, Peter T. and Dietrich, Tim and Coughlin, Michael W. and Bulla, Mattia and Tews, Ingo and Almualla, Mouza and Barna, Tyler and Kiendrebeogo, Ramodgwendé Weizmann and Kunert, Nina and Mansingh, Gargi and Reed, Brandon and Sravan, Niharika and Toivonen",An updated nuclear-physics and multi-messenger astrophysics framework for binary neutron star mergers,Nature Communications,10.1038/s41467-023-43932-6,https://doi.org/10.1038/s41467-023-43932-6,10483517
12,"Raikman, Ryan and Moreno, Eric A. and Govorkova, Ekaterina and Marx, Ethan J. and Gunny, Alec and Benoit, William and Chatterjee, Deep and Omer, Rafia and Saleem, Muhammed and Rankin, Dylan S. and Coughlin, Michael W. and Harris, Philip C. and Katsavounid",GWAK: gravitational-wave anomalous knowledge with recurrent autoencoders,Machine Learning: Science and Technology,10.1088/2632-2153/ad3a31,https://doi.org/10.1088/2632-2153/ad3a31,10502419
13,"Ye, Hanchen and Hao, Cong and Cheng, Jianyi and Jeong, Hyunmin and Huang, Jack and Neuendorffer, Stephen and Chen, Deming",ScaleHLS: A New Scalable High-Level Synthesis Framework on Multi-Level Intermediate Representation,ScaleHLS: A New Scalable High-Level Synthesis Framework on Multi-Level Intermediate Representation,10.1109/HPCA53966.2022.00060,https://doi.org/10.1109/HPCA53966.2022.00060,10419993
14,"Ye, Hanchen and Jun, HyeGang and Jeong, Hyunmin and Neuendorffer, Stephen and Chen, Deming",ScaleHLS: a scalable high-level synthesis framework with multi-level transformations and optimizations: invited,", 2022",10.1145/3489517.3530631,https://doi.org/10.1145/3489517.3530631,10477705
15,"Yin, Haoteng and Zhang, Muhan and Wang, Yanbang and Wang, Jianguo and Li, Pan",Algorithm and system co-design for efficient subgraph-based graph representation learning,Proceedings of the VLDB Endowment,10.14778/3551793.3551831,https://doi.org/10.14778/3551793.3551831,10421785
